word,chinese_meaning,phonetic,part_of_speech,english_meaning
ultraviolet,a. 紫外线的\n[化] 紫外线的; 紫外线,.ʌltrә'vaiәlit,,n. radiation lying in the ultraviolet range; wave lengths shorter than light but longer than X rays\ns. having or employing wavelengths shorter than light but longer than X-rays; lying outside the visible spectrum at its violet end
unanimous,"a. 意见一致的, 无异议的",ju:'nænimәs,,s in complete agreement\ns acting together as a single undiversified whole
uncover,"vt. 揭露, 揭开, 暴露, 脱帽致敬\nvi. 脱帽致敬, 揭去盖子",.ʌn'kʌvә,,v. make visible\nv. remove all or part of one's clothes to show one's body
underestimate,"n. 低估\nvt. 低估, 看轻",.ʌndәr'estimeit,,n. an estimation that is too low; an estimate that is less than the true or actual value\nv. make too low an estimate of
undergo,"vt. 遭受, 经历, 忍受\n[法] 经受, 经历, 忍受",.ʌndә'gәu,,v. pass through
undergraduate,"n. 大学本科生, 大学肄业生\na. 大学生的",.ʌndә'grædjuit,,n. a university student who has not yet received a first degree
underlie,"vt. 位于...之下, 成为...的基础",.ʌndә'lai,,v. be or form the base for\nv. lie underneath
underline,"vt. 在...下面划线, 作...的衬里, 强调\nn. 下划线, 图下说明文字\n[计] 加下划线; 下划线",'ʌndәlain,,v. draw a line or lines underneath to call attention to
underlying,"a. 在下面的\n[经] 优先的, 基础的, 放在下面的",.ʌndә'laiiŋ,,s. located beneath or below
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏\n[法] 暗中破坏, 以阴谋中伤伤害",.ʌndә'main,,v destroy property or hinder normal operations\nv hollow out as if making a cave or opening
underneath,adv. 在下面\nprep. 在...的下面,.ʌndә'ni:θ,,r. on the lower or downward side; on the underside of\nr. under or below an object or a surface; at a lower place or level; directly beneath
understanding,"n. 理解, 谅解\n[法] 协商, 协议, 谅解",.ʌndә'stændiŋ,,n. the cognitive condition of someone who understands\ns. characterized by understanding based on comprehension and discernment and empathy
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受\n[化] 承包; 承担",.ʌndә'teik,,v. enter upon an activity or enterprise\nv. accept as a challenge\nv. promise to do or accomplish\nv. accept as a charge
undesirable,"a. 不受欢迎的, 不合乎社会道德标准的\n[法] 不受欢迎的人, 不良份子, 不法份子",.ʌndi'zaiәrәbl,,n. one whose presence is undesirable\na. not wanted\ns. not worthy of being chosen (especially as a spouse)
undo,"vt. 解开, 取消, 破坏, 毁灭, 扰乱\nvi. 松开\n[计] 撤消",.ʌn'du:,,"v. cancel, annul, or reverse an action or its effect\nv. cause the ruin or downfall of"
undoubtedly,"adv. 无疑, 必定, 确实地",ʌn'dajtidli,,r. without doubt; certainly
uneasy,"a. 心神不安的, 不自在的, 不稳定的, 不舒服的",.ʌn'i:zi,,a. lacking a sense of security or affording no ease or reassurance\ns. relating to bodily unease that causes discomfort
unemployment,"n. 失业, 失业人数\n[经] 失业",.ʌnim'plɒimәnt,,n. the state of being unemployed or not having a job
unexpected,"a. 料想不到的, 突然的, 意外的\n[法] 不能预料的, 意外的",.ʌnik'spektid,,a. not expected or anticipated
unfold,"vt. 展开, 打开, 披露, 开展, 挑明\nvi. 伸展, 开花, 呈现",.ʌn'fәuld,,v. open to the view\nv. extend or stretch out to a greater or the full length\nv. spread out or open from a closed or folded state
unfortunately,"adv. 恐怕, 不幸的是",ʌn'fɔ:tjjnәtli,,r. by bad luck
uniform,"n. 制服\na. 统一的, 一律的, 始终如一的",'ju:nifɒ:m,,n. clothing of distinctive design worn by members of a particular group as a means of identification\nv. provide with uniforms\na. always the same; showing a single form or character in all occurrences\ns. evenly spaced
unify,"v. 统一, 使成一体",'ju:nifai,,v. become one
union,"n. 联盟, 联合, 结合, 工会\n[化] 联合; 联管节; 活接头",'ju:njәn,,n. an organization of employees formed to bargain with the employer\nn. the United States (especially the northern states during the American Civil War)\nn. the state of being joined or united or linked\nn. healing process involving the growing together of the edges of a wound or the growing together of broken bones
unique,"a. 独一无二的, 独特的, 稀罕的",ju:'ni:k,,s. (followed by `to') applying exclusively to a given category or condition or locality\ns. highly unusual or rare but not the single instance
unit,"n. 单位, 分队, 部队, 单元, 部件, 装置\na. 单位的, 单元的\n[计] 单元常数; 部件",'ju:nit,,n. an individual or group or structure or other entity regarded as a structural or functional constituent of a whole\nn. an organization regarded as part of a larger social group\nn. a single undivided whole\nn. a single undivided natural thing occurring in the composition of something else
unite,"vi. 联合, 接合, 混合\nvt. 使联合, 统一, 使粘合, 使结合",ju:'nait,,v. act in concert or unite in a common purpose or belief\nv. have or possess in combination\nv. bring together for a common purpose or action or ideology or in a shared situation\nv. join or combine
unity,"n. 一致, 联合, 单一(性), 个体\n[经] 统一",'ju:niti,,n an undivided or unbroken completeness or totality with nothing wanting\nn the smallest whole number or a numeral representing this number\nn the quality of being united into one
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的\nn. 一般概念",.ju:ni'vә:sl,,n. (linguistics) a grammatical rule (or other linguistic feature) that is found in all languages\nn. (logic) a proposition that asserts something of all members of a class\nn. a behavioral convention or pattern characteristic of all members of a particular culture or of all human beings\ns. applicable to or common to all members of a group or set
universe,"n. 宇宙, 星系, (思想等)范围",'ju:nivә:s,,n. everything that exists anywhere\nn. everything stated or assumed in a given discussion
university,n. 大学,.ju:ni'vә:siti,,"n. the body of faculty and students at a university\nn. establishment where a seat of higher learning is housed, including administrative and living quarters as well as facilities for research and teaching\nn. a large and diverse institution of higher learning created to educate for life and for a profession and to grant degrees"
unless,conj. 除非\nprep. 除...之外,.ʌn'les,,"conj. Upon any less condition than (the fact or thing stated\n   in the sentence or clause which follows); if not; supposing that not;\n   if it be not; were it not that; except; as, we shall fail unless we are\n   industrious."
unlike,"a. 不像的, 不同的\nprep. 不像, 和...不同",.ʌn'laik,,a. marked by dissimilarity\na. not equal in amount
unlikely,a. 不太可能的,.ʌn'laikli,,a. has little chance of being the case or coming about
unload,"vi. 卸货\nvt. 从...卸下, 摆脱...之负担, 倾销, 卸(货)\n[计] 卸载",.ʌn'lәud,,v. take the load off (a container or vehicle)
unusual,"a. 不寻常的, 罕见的, 与众不同的",.ʌn'ju:ʒu:l,,a. not usual or common or ordinary\ns. not commonly encountered
update,"vt. 更新, 使现代化\nn. 更新\n[计] 更新",ʌp'deit,,n. news that updates your information\nv. modernize or bring up to date\nv. bring up to date; supply with recent information\nv. bring to the latest state of technology
upgrade,"n. 上坡, 升级, 上升\nadv. 往上\nvt. 使升级, 提升, 改良品种\nvi. 升级\n[计] 升级",'ʌpgreid,,n. software that provides better performance than an earlier version did\nn. a reservation that is improved\nn. the property possessed by a slope or surface that rises\nn. hardware that provides better performance than an earlier version did
uphold,"vt. 支撑, 赞成, 鼓励, 举起, 坚持\n[法] 确认, 赞成, 支持",ʌp'hәuld,,"v. stand up for; stick up for; of causes, principles, or ideals\nv. support against an opponent"
upon,"prep. 在...之上, 迫近, 紧接着",ә'pɒn,,"prep. On; -- used in all the senses of that word, with which it\n   is interchangeable."
upper,"a. 上面的, 较高的, 上级的, 上院的, 穿在外面的, 北部的, 地表的, 后期的\nn. 鞋帮, 上齿",'ʌpә,,n. piece of leather or synthetic material that forms the part of a shoe or boot above the sole that encases the foot\ns. the topmost one of two\ns. higher in place or position\ns. superior in rank or accomplishment
upright,"a. 正直的, 诚实的, 公正的, 垂直的, 竖式的\n[化] 立杆",'ʌprait,,n. a vertical structural member as a post or stake\nn. a piano with a vertical sounding board\ns. in a vertical position; not sloping
uproar,"n. 骚动, 喧嚣",'ʌprɒ:,,n a state of commotion and noise and confusion\nn loud confused noise from many sources
upset,"a. 弄翻的, 混乱的, 心烦的\nvt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦\nvi. 翻倒",ʌp'set,,n. the act of disturbing the mind or body\nn. a tool used to thicken or spread metal (the end of a bar or a rivet etc.) by forging or hammering or swaging\nn. the act of upsetting something\nv. disturb the balance or stability of
upstairs,"a. 楼上的\nadv. 在楼上, 向楼上, 处于更高地位\nn. 楼层",'ʌp'stєәz,,n. the part of a building above the ground floor\na. on or of upper floors of a building\nr. on a floor above\nr. with respect to the mind
upward,a. 向上的\nadv. 以上,'ʌpwәd,,s. directed up
urban,"a. 都市的, 住在都市的, 习惯于都市的\n[法] 城市的, 都市的, 市区的",'ә:bәn,,a. relating to or concerned with a city or densely populated area\na. located in or characteristic of a city or city life
urge,"n. 冲动, 推动力, 迫切的要求\nvt. 驱策, 力劝, 竭力主张, 推动\nvi. 强烈要求",ә:dʒ,,n. an instinctive motive\nn. a strong restless desire\nv. force or impel in an indicated direction
urgent,"a. 紧急的, 急迫的, 催逼的\n[经] 紧急的, 急迫的",'ә:dʒәnt,,s compelling immediate action
usage,"n. 用法, 使用, 习惯, 惯用法, 习惯法\n[经] 使用情况, 使用用途, 惯例",'ju:sidʒ,,n. the customary manner in which a language (or a form of a language) is spoken or written
used,"a. 使用过的, 二手的, 习惯的",'ju:st,,a. employed in accomplishing something
useful,"a. 有用的, 有益的\n[机] 有用的, 有效的",'ju:sful,,a. being of use or service
usual,"a. 平常的, 通常的",'ju:ʒuәl,,a. occurring or encountered or experienced or observed frequently or in accordance with regular practice or procedure
utilize,vt. 利用,'ju:tilaiz,,v. convert (from an investment trust to a unit trust)
utmost,"n. 极限, 最大限度, 极度\na. 极度的, 最远的",'ʌtmәust,,n. the greatest possible degree
utter,"a. 全然的, 绝对的, 完全的\nvt. 发出声音, 做声, 发表, 发射, 流通",'ʌtә,,v. express audibly; utter sounds (not necessarily words)\nv. put into circulation
vacant,"a. 空的, 空白的, 空虚的, 空闲的, 茫然的, 空缺的\n[法] 空的, 空虚的, 闲暇的",'veikәnt,,s. void of thought or knowledge\ns. without an occupant or incumbent
vacation,"n. 假期, 休假\n[法] 假期, 停审期, 休庭期",vei'keiʃәn,,n. leisure time away from work devoted to rest or pleasure\nn. the act of making something legally void\nv. spend or take a vacation
vacuum,"n. 真空, 空间, 真空吸尘器\na. 真空的, 产生真空的, 利用真空的\nvt. 用吸尘器打扫",''vækjuәm,,n. the absence of matter\nn. a region that is devoid of matter\nn. an electrical home appliance that cleans by suction\nv. clean with a vacuum cleaner
vague,"a. 含糊的, 不清楚的, 茫然的",veig,,"s not clearly understood or expressed\na not precisely limited, determined, or distinguished\ns lacking clarity or distinctness"
vain,"a. 无价值的, 徒然的, 空虚的, 自负的, 愚蠢的",vein,,s characteristic of false pride; having an exaggerated sense of self-importance\ns unproductive of success
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的\n[经] 有效的",'vælid,,a. well grounded in logic or truth or having legal force\ns. still legally acceptable
valley,"n. 山谷, 溪谷, 流域, 凹地\n[医] 谷",'væli,,n. a long depression in the surface of the land that usually contains a river
valuable,"a. 有价值的, 贵重的, 宝贵的, 可估价的\n[经] 有价值的, 可估价的, 贵重的",'væljuәbl,,n. something of value\na. having great material or monetary value especially for use or exchange\ns. having worth or merit or value
value,"n. 价值, 价格, 购买力, 评价, 估价, 计算结果\nvt. 评价, 估价, 重视\n[计] 计算结果",'vælju:,,n. a numerical quantity measured or assigned or computed\nn. the quality (positive or negative) that renders something desirable or valuable\nn. the amount (of money or goods or services) that is considered to be a fair equivalent for something else\nn. relative darkness or lightness of a color
valve,"n. 活瓣, 阀, 活门\nv. 装阀, 用阀调节",vælv,,n. a structure in a hollow organ (like the heart) with a flap to insure one-way flow of fluid through it\nn. device in a brass wind instrument for varying the length of the air column to alter the pitch of a tone\nn. control consisting of a mechanical device for controlling the flow of a fluid\nn. the entire one-piece shell of a snail and certain other molluscs
van,"n. 货车, 篷车, 先锋, 前驱, 前卫\nvt. 用货车搬运\n[计] 增值网",væn,,n. (Great Britain) a closed railroad car that carries baggage or freight\nn. a camper equipped with living quarters\nn. a truck with an enclosed cargo space
vanish,"vi. 消失, 不见, 成为零",'væniʃ,,v. become invisible or unnoticeable\nv. cease to exist\nv. decrease rapidly and disappear
vanity,"n. 虚荣心, 虚无, 自负, 空虚, 时髦的小摆饰",'væniti,,n. the quality of being valueless or futile
vapour,"n. 汽, 蒸气\nvi. 蒸发, 吹牛\nvt. 使蒸发, 使汽化",'veipә,,n a visible suspension in the air of particles of some substance\nn the process of becoming a vapor
variable,"n. 易变的事物, 变数, 可变物, 变量\na. 可变的, 不定的, 易变的, 变量的\n[计] 变量",'vєәriәbl,,n. something that is likely to vary; something that is subject to variation\nn. a quantity that can assume any of a set of values\nn. a symbol (like x or y) that is used in mathematical or logical expressions to represent a variable quantity\na. liable to or capable of change
variation,"n. 变更, 变化, 变种, 变奏\n[医] 变异, 变易; 变度",.vєәri'eiʃәn,,n. an instance of change; the rate or magnitude of change\nn. an activity that varies from a norm or standard\nn. a repetition of a musical theme in which it is modified or embellished\nn. an artifact that deviates from a norm or standard
variety,"n. 多样, 种类, 变种, 杂耍\n[化] 变种",vә'raiәti,,n. (biology) a taxonomic category consisting of members of a species that differ from others of the same species in minor but heritable characteristics\nn. a difference that is usually pleasant
various,"a. 不同的, 各种的, 多方面的, 许多的, 个别的, 杂色的\n[法] 不同的, 种种的, 各式各样的",'vєәriәs,,s of many different kinds purposefully arranged but lacking any uniformity\ns considered individually\ns distinctly dissimilar or unlike\ns having great diversity or variety
vary,"vt. 改变, 使多样化\nvi. 变化, 有不同, 违反",'vєәri,,v. be subject to change in accordance with a variable\nv. make something more diverse and varied
vase,"n. 花瓶, 瓶",veis,,n. an open jar of glass or porcelain used as an ornament or to hold flowers
vast,"a. 巨大的, 广大的, 非常的, 大量的",vɑ:st,,s unusually great in size or amount or degree or especially extent or scope
vegetarian,"n. 素食者, 食草动物\na. 素食的",.vedʒi'tєәriәn,,n. eater of fruits and grains and nuts; someone who eats no meat or fish or (often) any animal products
vegetation,"n. 植物\n[医] 贽生物, 贽疣, 增殖体; 生长, 增殖",.vedʒi'teiʃәn,,"n. all the plant life in a particular region or period\nn. the process of growth in plants\nn. an abnormal growth or excrescence (especially a warty excrescence on the valves of the heart)\nn. inactivity that is passive and monotonous, comparable to the inactivity of plant life"
vehicle,"n. 交通工具, 车辆, 传播媒介\n[化] 载体; 运载体; 漆料",'vi:ikl,,n. a conveyance that transports people or objects\nn. a medium for the expression or achievement of something\nn. any substance that facilitates the use of a drug or pigment or other material that is mixed with it
veil,"n. 面纱, 面罩, 借口, 幕, 帐, 遮蔽物\nvt. 戴面纱, 隐藏, 遮蔽, 掩饰\nvi. 蒙上面纱",veil,,"n. a membranous covering attached to the immature fruiting body of certain mushrooms\nv. to obscure, or conceal with or as if with a veil"
vein,"n. 血管, 静脉, 纹理, 气质, 情绪\nvt. 使有脉络, 像脉络般分布于",vein,,n. a blood vessel that carries blood from the capillaries toward the heart\nn. a distinctive style or manner\nn. any of the vascular bundles or ribs that form the branching framework of conducting and supporting tissues in a leaf or other plant organ\nn. a layer of ore between layers of rock
velocity,"n. 速度, 迅速\n[化] 速度",vi'lɒsәti,,n distance travelled per unit time
velvet,n. 天鹅绒\na. 天鹅绒的,'velvit,,n. a silky densely piled fabric with a plain back\ns. smooth and soft to sight or hearing or touch or taste\ns. resembling velvet in having a smooth soft surface
ventilate,"vt. 使空气流通, 使通风, 公开讨论, 公开\n[医] 通风, 换气",'ventileit,,v. expose to the circulation of fresh air so as to retard spoilage\nv. circulate through and freshen\nv. furnish with an opening to allow air to circulate or gas to escape
venture,"n. 冒险, 风险\nvt. 敢于, 冒...的危险\nvi. 冒险",'ventʃә,,n. any venturesome undertaking especially one with an uncertain outcome\nn. a commercial undertaking that risks a loss but promises a profit\nv. proceed somewhere despite the risk of possible dangers\nv. put at risk
verb,n. 动词\n[计] 动词,vә:b,,"n. the word class that serves as the predicate of a sentence\nn. a content word that denotes an action, occurrence, or state of existence"
verbal,"a. 用言辞的, 言语的, 口头的, 逐字的, 动词的\n[医] 言语的, 口述的",'vә:bl,,s. communicated in the form of words\na. of or relating to or formed from words in general\na. of or relating to or formed from a verb\na. relating to or having facility in the use of words
verdict,"n. 裁决, 判决, 判断性意见, 定论, 结论\n[法] 定论, 判断, 意见",'vә:dikt,,n. (law) the findings of a jury on issues of fact submitted to it for decision; can be used in formulating a judgment
verge,"n. 边缘, 边界, 起始点\nvi. 处在边缘, 接近, 下沉, 趋向",vә:dʒ,,n. the limit beyond which something happens or changes\nn. a grass border along a road\nv. border on; come close to
verify,"vt. 证明, 查证, 证实, 检验, 校验\n[计] 校验, 检验; DOS内部命令:设定写入磁盘时是否验证写入的正确性",'verifai,,v. confirm the truth of\nv. attach or append a legal verification to (a pleading or petition)
versatile,"a. 多才多艺的, 万用的, 万向的",'vә:sәtail,,s. having great diversity or variety\ns. changeable or inconstant\ns. competent in many areas and able to turn with ease from one thing to another\ns. able to move freely in all directions
verse,"n. 诗, 韵文, 诗句\nvt. 用诗表达\nvi. 作诗",vә:s,,n. a piece of poetry\nn. a line of metrical text\nv. compose verses or put into verse\nv. familiarize through thorough study or experience
version,"n. 一种描述, 版本, 译文\n[计] 版本",'vә:ʒәn,,n. an interpretation of a matter from a particular viewpoint\nn. something a little different from others of the same type\nn. manual turning of a fetus in the uterus (usually to aid delivery)
versus,"prep. 对...\n[法] 诉, 对, 相形",'vә:sәs,,"prep. Against; as, John Doe versus Richard Roe; -- chiefly\n   used in legal language, and abbreviated to v. or vs."
vertical,"a. 垂直的, 直立的\n[医] 垂直的, 顶的, 头顶的",'vә:tikl,,n. something that is oriented vertically\na. at right angles to the plane of the horizon or a base line\na. relating to or involving all stages of a business from production to distribution\ns. of or relating to different levels in a hierarchy (as levels of social class or income group)
vessel,"n. 船, 容器, 脉管\n[医] 管, 脉管, (容)器",'vesl,,n. a tube in which a body fluid circulates\nn. a craft designed for water transportation\nn. an object used as a container (especially for liquids)
vest,"n. 背心, 汗背心\nvt. 使穿衣服, 授予\nvi. 穿衣服, 归属",vest,,"n. a man's sleeveless garment worn underneath a coat\nv. place (authority, property, or rights) in the control of a person or group of persons\nv. become legally vested\nv. clothe oneself in ecclesiastical garments"
veteran,"n. 老手, 退伍军人, 老兵, 老树\na. 老兵的, 老练的, 经验丰富的",'vetәrәn,,n. a serviceman who has seen considerable active service\nn. a person who has served in the armed forces\nn. an experienced person who has been through many battles; someone who has given long service
veto,"n. 否决权\nvt. 否决, 禁止",'vi:tәu,,n. a vote that blocks a decision\nn. the power or right to prohibit or reject a proposed or intended act (especially the power of a chief executive to reject a bill passed by the legislature)\nv. vote against; refuse to endorse; refuse to assent
via,"prep. 经由, 经过, 通过\n[医] 病毒灭活剂",vaiә,,"n. A road way.\nprep. By the way of; as, to send a letter via Queenstown to\n   London."
vibrate,"vi. 振动, 颤动, 激动, 摇摆, 踌躇\nvt. 使颤动, 使振动, 使摆动",'vaibreit,,"v. shake, quiver, or throb; move back and forth rapidly, usually in an uncontrolled manner"
vice,"n. 恶习, 恶行, 罪恶, 堕落, 缺陷, 恶癖, 老虎钳\nvt. 钳住\nprep. 代替",vais,,n. a specific form of evildoing
vicinity,"n. 附近, 邻近, 附近地区, 近处\n[法] 附近, 邻近, 附近地区",vi'siniti,,n. a surrounding or nearby region
vicious,"a. 邪恶的, 堕落的, 品性不端的, 恶毒的, 恶性的, 有错误的\n[医] 缺点的, 恶的",'viʃәs,,s (of persons or their actions) able or disposed to inflict pain or suffering\ns having the nature of vice\ns bringing or deserving severe rebuke or censure\ns marked by deep ill will; deliberately harmful
victim,"n. 受害人, 牺牲者, 牺牲品\n[法] 受害人, 被害人, 遭难者",'viktim,,n. an unfortunate person who suffers from some adverse circumstance\nn. a person who is tricked or swindled
victory,"n. 胜利, 战胜, 克服",'viktәri,,n. a successful ending of a struggle or contest
video,"n. 影像, 电视\na. 图像的, 电视的",'vidiәu,,n. the visible part of a television transmission\nn. (computer science) the appearance of text and graphics on a video display
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象\nvt. 看, 考虑, 视察, 查看, 估量\n[计] 视图",vju:,,n. the visual percept of a region\nn. the act of looking or seeing or observing\nn. the range of the eye\nn. purpose; the phrase `with a view to' means `with the intention of' or `for the purpose of'
viewpoint,n. 观点,'vju:pɒint,,n a mental position from which things are viewed\nn a place from which something can be viewed
vigor,"n. 精力, 活力",'vigә,,n. active strength of body or mind
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的",'vigәrәs,,s. characterized by forceful and energetic action or activity\ns. strong and active physically or mentally
vinegar,"n. 醋, 尖酸刻薄\nvt. 加醋于",'vinigә,,n. sour-tasting liquid produced usually by oxidation of the alcohol in wine or cider and used as a condiment or food preservative\nn. dilute acetic acid
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍\n[经] 违犯, 违反",'vaiәleit,,v. fail to agree with; be in violation of; as of rules or patterns\nv. destroy
violence,"n. 猛烈, 暴力, 暴虐, 暴行\n[法] 暴行, 暴力, 暴乱",'vaiәlәns,,n. an act of aggression (as one against a person who resists)\nn. a turbulent state resulting in injuries and destruction etc.
violent,"a. 暴力的, 猛烈的, 激烈的, 极端的, 凶暴的",'vaiәlәnt,,a. acting with or marked by or resulting from great force or energy or emotional intensity\ns. effected by force or injury rather than natural causes\ns. (of colors or sounds) intensely vivid or loud
violet,"n. 堇菜, 紫罗兰\na. 堇菜科的, 紫罗兰色的",'vaiәlit,,n. any of numerous low-growing violas with small flowers\nn. a variable color that lies beyond blue in the spectrum
violin,n. 小提琴,.vaiә'lin,,n. bowed stringed instrument that is the highest member of the violin family; this instrument has four strings and a hollow body and an unfretted fingerboard and is played with a bow
virgin,"n. 处女\na. 处女的, 贞洁的, 纯洁的, 初始的, 纯的",'vә:dʒin,,n. a person who has never had sex\ns. being used or worked for the first time
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的\n[计] 虚拟",'vә:tʃuәl,,s. being actually such in almost every respect\ns. existing in essence or effect though not in actual fact
virtually,adv. 事实上,'vә:tʃuәli,,r. in essence or effect but not in fact
virtue,"n. 德行, 美德, 优点, 功效, 效力\n[法] 美德, 贞操, 优点",'vә:tju:,,n. the quality of doing what is right and avoiding what is wrong\nn. morality with respect to sexual relations\nn. a particular moral excellence
virtuosity,"n. 精湛技巧, 对古董等的爱好",.vә:tju'ɒsiti,,n. technical skill or fluency or style exhibited by a virtuoso
virus,"n. 病毒, 滤过性病毒, 毒害\n[化] 病毒",'vaiәrәs,,n. (virology) ultramicroscopic infectious agent that replicates itself only within cells of living hosts; many are pathogenic; a piece of nucleic acid (DNA or RNA) wrapped in a thin coat of protein\nn. a harmful or corrupting agency\nn. a software program capable of reproducing itself and usually capable of causing great harm to files or other programs on the same computer
visa,n. 签证\nvt. 签发,'vi:zә,,n. an endorsement made in a passport that allows the bearer to enter the country issuing it\nv. provide (a passport) with a visa\nv. approve officially
visible,"a. 看得见的, 明显的, 显然的\nn. 可见物",'vizәbl,,a. capable of being seen; or open to easy view\ns. obvious to the eye\ns. present and easily available
vision,"n. 视觉, 眼光, 视力, 幻想\nvt. 梦见, 想象, 显示",'viʒәn,,n. a vivid mental image\nn. the perceptual experience of seeing\nn. a religious or mystical experience of a supernatural appearance
visitor,"n. 参观者, 游客, 访客\n[法] 视察人, 检视人, 检查员",'vizitә,,n. someone who visits
visual,"a. 视觉的\n[医] 视觉的, 视力的, 视觉性记忆优势者",'viʒuәl,,"a relating to or using sight\ns visible; give me the ocular proof""- Shakespeare"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的\n[医] 生命的, 生活的, 生活上必需的, 紧要的",'vaitl,,s. performing an essential function in the living body\ns. manifesting or characteristic of life
vitamin,n. 维生素\n[化] 维生素,'vaitәmin,,n. any of a group of organic substances essential in small quantities to normal metabolism
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的",'vivid,,s. having the clarity and freshness of immediate experience
vocabulary,"n. 词汇(量), 词汇表\n[计] 词表",vә'kæbjulәri,,n. a listing of the words used in some enterprise\nn. a language user's knowledge of words\nn. the system of techniques or symbols serving as a means of expression (as in arts or crafts)
vocal,"a. 嗓音的, 声音的, 有声的, 歌唱的\nn. 元音, 声乐作品",'vәukl,,a. relating to or designed for or using the singing voice\na. having or using the power to produce speech or sound\ns. full of the sound of voices
vocation,"n. 职业, 天命, 天职, 才能, 行业\n[法] 行业, 职业, 职业上的才能",vәu'keiʃәn,,n the particular occupation for which you are trained\nn a body of people doing the same kind of work
voice,"n. 声音, 嗓音, 嗓子, 愿望, 发言权, 表达, 喉舌, 语态\nvt. 表达, 吐露, 调音",vɒis,,n. the distinctive quality or pitch or condition of a person's speech\nn. the sound made by the vibration of vocal folds modified by the resonance of the vocal tract\nn. a sound suggestive of a vocal utterance\nn. a means or agency by which something is expressed or communicated
void,"n. 空虚, 空间, 空白, 空隙, 空虚感\na. 空的, 无效的, 无人的, 没有的, 无用的\n[计] 脱墨; 空白点",vɒid,,"n. an empty area or space\nv. clear (a room, house, place) of occupants or empty or clear (a place or receptacle) of something\ns. containing nothing"
volcano,n. 火山,vɒl'keinәu,,n. a mountain formed by volcanic material
volleyball,n. 排球,'vɒlibɒ:l,,n. a game in which two teams hit an inflated ball over a high net using their hands\nn. an inflated ball used in playing volleyball
volt,n. 伏特\n[化] 伏特,vәult,,n. a unit of potential equal to the potential difference between two points on a conductor carrying a current of 1 ampere when the power dissipated between the two points is 1 watt; equivalent to the potential difference across a resistance of 1 ohm when 1 ampere of current flows through it
voltage,"n. 电压, 伏特数\n[化] 电压",'vәultidʒ,,n. the rate at which energy is drawn from a source that produces a flow of electricity in a circuit; expressed in volts
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量\nvi. 成团卷起\nvt. 把...收集成卷\na. 大量的\n[计] 卷",'vɒljum,,n. the amount of 3-dimensional space occupied by an object\nn. a publication that is one of a set of several similar publications\nn. a relative amount\nn. the magnitude of sound (usually in a specified direction)
voluntary,"a. 自动的, 自愿的, 故意的, 志愿的, 自发的\nn. 自愿行动, 志愿者, 自由调",'vɒlәntәri,,n. composition (often improvised) for a solo instrument (especially solo organ) and not a regular part of a religious service or musical performance\na. of your own free will or design; done by choice; not forced or compelled\na. controlled by individual volition
volunteer,n. 志愿者\na. 志愿的\nv. 自愿,.vɒlәn'tiә,,n. (military) a person who freely enlists for service\nn. a person who performs voluntary work\nv. tell voluntarily\nv. agree freely
vote,"n. 投票, 选举, 选票, 表决, 选举权, 得票数\nvi. 投票, 选举\nvt. 投票选举, 投票决定, 公认, 使投票",vәut,,n. a choice that is made by counting the number of people in favor of each alternative\nn. the opinion of a group as determined by voting\nn. a body of voters who have the same interests\nn. the total number of voters who participated
vowel,n. 元音\na. 元音的,'vauәl,,n. a speech sound made with the vocal tract open\nn. a letter of the alphabet standing for a spoken vowel
voyage,"n. 航行, 航海, 航程, 旅行, 航空\nvi. 航海, 航行\nvt. 航行越过, 飞过",'vɒiidʒ,,n. a journey to some distant place\nv. travel on water propelled by wind or by other means
vulgar,"a. 粗俗的, 庸俗的, 普通的, 通俗的, 方言的\n[法] 庸俗的, 卑下的, 粗俗的",'vʌlgә,,s lacking refinement or cultivation or taste\ns of or associated with the great masses of people\ns being or characteristic of or appropriate to everyday language\ns conspicuously and tastelessly indecent
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的\n[医] 易损的",'vʌlnәrәbl,,a. susceptible to attack\ns. susceptible to criticism or persuasion or temptation\ns. capable of being wounded or hurt
wage,"n. 工资, 报应, 报偿\nvt. 开展, 进行\nvi. 进行",weidʒ,,n. something that remunerates
wagon,"n. 四轮马车, 货车\n[法] 囚车, 马车, 运货车",'wægәn,,n. any of various kinds of wheeled vehicles drawn by an animal or a tractor\nn. a child's four-wheeled toy cart sometimes used for coasting
waist,"n. 腰部, 腰\n[医] 腰",weist,,n. the narrowing of the body between the ribs and hips
